Line,Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
002,2,MACDONALD/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent," 84,000 "," 115,000 ",400m, 8.6 , Data reflects service redesign with 022 in summer 2016 ,"- Summer 2016: Split 022 at Burrard Station, this route serves Burrard Station to Dunbar (rest served by 022; all days)",- Summer 2016: Reduce service due to efficiencies with combined 002/022 schedules (all days),0,0,0,0,0,0,0
003,3,MAIN/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent," 79,000 "," 106,000 ",400m, 10.0 ,,- Fall 2015: Increase service 24:30-25:30 from every 30 to 20 min (M-F),0,0,0,0,0,0,0,0
004,4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent," 123,000 "," 163,000 ",400m, 14.2 ,,Summer 2019: Increase service 18:00-19:00 from every 20 to 15 mins (S/H),0,0,0,,0,0,0,0
005/006,5/6,ROBSON–DAVIE/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent," 113,000 "," 135,000 ",400m, 3.4 , 005/006 run as a connected loop; data reflects service redesign with 023 in Dec 2016 ,- Fall 2016: Reroute 005/006 btw Burrard and Granville due to 800-block  Robson St  closure (all days),- Summer 2017: Add one WB trip from Yaletown Stn around 06:40 (M-F),Summer 2019: Increase service 21:00-23:00 from every 15 to 12 mins (Sat),Fall 2019: Increase service 07:00-10:00 from every 5-7 to 4-6 mins (M-F); Increase service 21:00-23:00 from every 15 to 12 mins (Sat),0,0,0,0,0
007,7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Standard," 146,000 "," 150,000 ",400m, 15.7 ,,Fall 2019: Increase service 06:00-09:00 from every 15-20 to 12-15 mins (M-F); Increase service 15:00-19:00 from every 15-20 to 12-15 mins (Sat),0,0,0,0,0,0,0,0
008,8,FRASER/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent," 81,000 "," 102,000 ",400m, 8.9 ,,0,0,0,0,0,0,0,0,0
009,9,BOUNDARY/COMM'L-BDWAY STN/GRANVILLE/ALMA/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent," 114,000 "," 86,000 ",400m, 10.5 ,,0,0,0,0,0,0,0,0,0
010,10,GRANVILLE/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent," 100,000 "," 140,000 ",400m, 10.5 ,,0,0,0,0,0,0,0,0,0
014,14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent," 140,000 "," 185,000 ",400m, 13.2 ,,- Fall 2015: Increase service 24:00-25:30 from every 20 to 15 min (M-F),0,,0,0,0,0,0,0
015/050,15/50,CAMBIE/OLYMPIC VLG STN – WATERFRONT STN/FALSE CREEK S,Vancouver/UBC,Std. Bus,Standard," 125,000 "," 175,000 ",400m, 6.7 , 015/050 run as a connected route ,0,0,0,0,0,0,0,0,0
016,16,29TH AVE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent," 152,000 "," 179,000 ",400m, 17.5 ,,0,0,0,0,0,0,0,0,0
017,17,OAK/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent," 92,000 "," 151,000 ",400m, 10.6 ,,0,0,0,0,0,0,0,0,0
019,19,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent," 143,000 "," 149,000 ",400m, 13.4 ,,Fall 2019: Increase service NB 07:00-09:00 from every 10 to 9 mins (M-F),0,0,0,0,0,0,0,0
020,20,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent," 104,000 "," 132,000 ",400m, 9.8 ,,- Summer 2018: Add downtown layover to improve reliability (all days),0,,0,0,0,0,0,0
022,22,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent," 102,000 "," 140,000 ",400m, 10.4 , Data reflects service redesign with 002 in summer 2016 ,"- Summer 2016: Split 022 at Burrard Station, this route serves Burrard Station to Knight/Marine (rest served by 002; all days)",- Summer 2016: Reduce service due to efficiencies with combined 002/022 schedules (all days),0,0,0,0,0,0,0
023,23,MAIN ST STN/YALETOWN/BEACH,Vancouver/UBC,Mini-Bus,All Day Frequent," 94,000 "," 63,000 ",400m, 5.5 , Data reflects service redesign with 005/006 in Dec 2016 ,- Winter 2016: Introduce new route btw Main St Science World Stn and Davie/Denman to replace former C21 and C23 (all days),- Spring 2017: Discontinue short-turn trips btw Main St and Yaletown; Operate all trips btw Main St and Davie/Denman (M-F),- Fall 2018: Increase service 07:30-09:00 from every 7-8 to 6-7 min and 09:00-10:00 from every 12 to 10 min (M-F),- Winter 2018: Increase service 19:00-20:30 from every 12 to 15 min (M-F),Fall 2019: Increase service 10:00-13:00 and 20:00-21:00 from every 15 to 10 mins and 21:00-22:00 from every 15 to 12 mins (all days),0,0,0,0
025,25,BRENTWOOD STN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent," 97,000 "," 32,000 ",400m, 22.4 ,,"- Fall 2017: Increase service during a.m./p.m. peak from every 5-10 to 4-8 min (M-F); Increase service 05:00-06:00 from every 60 to 30 min, 08:00-09:00 from every 12 to 10 min, and 19:00-20:00 from every 15 to 12 min (Sat)",- Fall 2018: Increase service 07:20-08:00 EB only and 08:00-09:00 from every 6 to 4 min (M-F),Summer 2019: Increase service 15:00-18:00 from every 12 to 10 mins (Sat),0,0,0,0,0,0
026,26,JOYCE STN/29TH AVE STN,Vancouver/UBC,Std. Bus,Peak Frequent," 60,000 "," 6,000 ",400m, 10.7 ,,- Summer 2016: Reroute to serve Champlain Heights via Tyne and Arlington St (all days),0,,0,0,0,0,0,0
027,27,KOOTENAY LOOP/JOYCE STN,Vancouver/UBC,Std. Bus,Peak Frequent," 55,000 "," 16,000 ",400m, 6.1 ,,0,0,0,0,0,0,0,0,0
028,28,CAPILANO U/PHIBBS EXCH/JOYCE STN,Burnaby/New Westminster,Std. Bus,Peak Frequent," 61,000 "," 24,000 ",400m, 12.1 ,,- Winter 2018: Extend 07:20 NB trip to Cap U from Phibbs Exch (M-F),0,0,0,0,0,0,0,0
029,29,ELLIOTT/29TH AVE STN,Vancouver/UBC,Std. Bus,Peak Frequent," 30,000 "," 2,000 ",400m, 4.4 ,,0,0,0,0,0,0,0,0,0
032,32,DUNBAR/DOWNTOWN,Vancouver/UBC,Std. Bus,Peak Only Limited," 83,000 "," 113,000 ",400m, 9.9 ,,0,0,0,0,0,0,0,0,0
033,33,29TH AVE STN/UBC,Vancouver/UBC,Std. Bus,Peak Frequent," 88,000 "," 27,000 ",400m, 17.4 ,,Summer 2019: Increase service 09:00-11:00 from every 30 to 20 mins (Sat),0,0,0,0,0,0,0,0
041,41,JOYCE STN/CROWN/UBC,Vancouver/UBC,Std. Bus,All Day Frequent," 93,000 "," 31,000 ",400m, 16.1 ,,- Summer 2016: Remove one trip per hour 07:00-10:00 and 16:00-19:00 (M-F),- Fall 2018: Decrease service 09:00-15:00 from every 6-9 to 7-10 min (M-F),Summer 2019: Increase service 18:00-20:00 from every 12 to 10-12 mins and 20:00-21:00 from every 15 to 12 mins (Sat); Increase service 18:00-19:00 from every 12 to 10 mins (S/H),0,0,0,0,0,0
042,42,ALMA/SPANISH BANKS,Vancouver/UBC,Mini-Bus,Special," 8,000 "," 2,000 ",400m,, Route is summer seasonal only ,- Spring 2016: Truncate route to Spanish Banks (from UBC); Increase service to every 30 min (Sat & S/H),- Spring 2018: Change route name from C19 to 42 (all days),0,0,0,0,0,0,0
043,43,JOYCE STN/UBC,Vancouver/UBC,Artic. Bus,Peak Frequent," 72,000 "," 30,000 ",400m, 18.9 ,,- Summer 2016: Add one trip per hour 07:00-10:00 and 16:00-19:00 (M-F); Adjust stopping pattern to improve travel times (all days),- Fall 2017: Introduce 15-min service during midday 09:00-15:00 (M-F),"- Fall 2018: Increase service during a.m. peak from every 8-30 to 7-20 min, 09:00-15:00 from every 15 to 10 min, and during p.m. peak from every 10 to 9 min  (M-F); Introduce new service span 19:00-21:00 every 15 min and 21:00-22:00 every 30 min (M-F)",Summer 2019: Convert not in service EB trips departing UBC 21:00-22:30 to in service trips (M-F),0,0,0,0,0
044,44,UBC/DOWNTOWN,Vancouver/UBC,Artic. Bus,Peak Frequent," 80,000 "," 139,000 ",400m, 12.0 ,,- Summer 2018: Remove five stops within downtown Vancouver to make route express/limited stop (all days),0,0,0,0,0,0,0,0
